"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"Jan., 2021 (provisional)"	"2021/01"	486	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"Feb., 2021 (provisional)"	"2021/02"	386	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"Mar., 2021 (provisional)"	"2021/03"	427	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"Apr., 2021 (provisional)"	"2021/04"	436	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"May, 2021 (provisional)"	"2021/05"	438	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"Jun., 2021 (provisional)"	"2021/06"	421	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"Jul., 2021 (provisional)"	"2021/07"	468	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	589	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	635	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	742	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"Nov., 2021 (provisional)"	"2021/11"	608	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 (provisional)"	"2021"	"Dec., 2021 (provisional)"	"2021/12"	572	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	548	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	459	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional and partial)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	473	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional and partial)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	437	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional and partial)"	"2022"	"May, 2022 (provisional)"	"2022/05"	434	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional and partial)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	461	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional and partial)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	471	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional and partial)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	363	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional and partial)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	190	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Jan., 2018"	"2018/01"	6221	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Feb., 2018"	"2018/02"	4830	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Mar., 2018"	"2018/03"	5363	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Apr., 2018"	"2018/04"	4920	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"May, 2018"	"2018/05"	4769	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Jun., 2018"	"2018/06"	4672	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Jul., 2018"	"2018/07"	4763	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Aug., 2018"	"2018/08"	4663	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Sep., 2018"	"2018/09"	4510	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Oct., 2018"	"2018/10"	4632	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Nov., 2018"	"2018/11"	4719	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Dec., 2018"	"2018/12"	5220	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Jan., 2019"	"2019/01"	5610	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Feb., 2019"	"2019/02"	4732	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Mar., 2019"	"2019/03"	5386	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Apr., 2019"	"2019/04"	5039	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"May, 2019"	"2019/05"	5105	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Jun., 2019"	"2019/06"	4689	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Jul., 2019"	"2019/07"	4928	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Aug., 2019"	"2019/08"	4852	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Sep., 2019"	"2019/09"	4754	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Oct., 2019"	"2019/10"	4860	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Nov., 2019"	"2019/11"	5062	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Dec., 2019"	"2019/12"	5219	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Jan., 2020"	"2020/01"	5695	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Feb., 2020"	"2020/02"	5279	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Mar., 2020"	"2020/03"	5745	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Apr., 2020"	"2020/04"	5775	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"May, 2020"	"2020/05"	5836	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Jun., 2020"	"2020/06"	6486	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Jul., 2020"	"2020/07"	8251	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Aug., 2020"	"2020/08"	6601	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Sep., 2020"	"2020/09"	5391	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Oct., 2020"	"2020/10"	5572	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Nov., 2020"	"2020/11"	6054	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Dec., 2020"	"2020/12"	9062	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"Jan., 2021 (provisional)"	"2021/01"	10057	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"Feb., 2021 (provisional)"	"2021/02"	6567	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"Mar., 2021 (provisional)"	"2021/03"	6039	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"Apr., 2021 (provisional)"	"2021/04"	5452	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"May, 2021 (provisional)"	"2021/05"	5746	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"Jun., 2021 (provisional)"	"2021/06"	5690	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"Jul., 2021 (provisional)"	"2021/07"	5828	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	6718	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	6863	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	6844	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"Nov., 2021 (provisional)"	"2021/11"	7325	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021 (provisional)"	"2021"	"Dec., 2021 (provisional)"	"2021/12"	8313	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	8350	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	6660	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional and partial)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	6171	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional and partial)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	5551	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional and partial)"	"2022"	"May, 2022 (provisional)"	"2022/05"	5775	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional and partial)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	5603	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional and partial)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	6077	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional and partial)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	5651	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional and partial)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	4067	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Jan., 2018"	"2018/01"	3350	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Feb., 2018"	"2018/02"	2678	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Mar., 2018"	"2018/03"	2725	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Apr., 2018"	"2018/04"	2537	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"May, 2018"	"2018/05"	2708	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Jun., 2018"	"2018/06"	2504	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Jul., 2018"	"2018/07"	2552	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Aug., 2018"	"2018/08"	2519	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Sep., 2018"	"2018/09"	2539	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Oct., 2018"	"2018/10"	2660	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Nov., 2018"	"2018/11"	2693	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Dec., 2018"	"2018/12"	2871	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Jan., 2019"	"2019/01"	2961	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Feb., 2019"	"2019/02"	2766	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Mar., 2019"	"2019/03"	3017	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Apr., 2019"	"2019/04"	2712	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"May, 2019"	"2019/05"	2692	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Jun., 2019"	"2019/06"	2515	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Jul., 2019"	"2019/07"	2620	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Aug., 2019"	"2019/08"	2586	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Sep., 2019"	"2019/09"	2573	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Oct., 2019"	"2019/10"	2703	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Nov., 2019"	"2019/11"	2801	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Dec., 2019"	"2019/12"	2942	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Jan., 2020"	"2020/01"	2952	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Feb., 2020"	"2020/02"	2855	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Mar., 2020"	"2020/03"	2873	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Apr., 2020"	"2020/04"	2719	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"May, 2020"	"2020/05"	2815	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Jun., 2020"	"2020/06"	2962	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Jul., 2020"	"2020/07"	3134	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Aug., 2020"	"2020/08"	3334	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Sep., 2020"	"2020/09"	3185	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Oct., 2020"	"2020/10"	3478	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Nov., 2020"	"2020/11"	3710	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Dec., 2020"	"2020/12"	4091	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"Jan., 2021 (provisional)"	"2021/01"	4198	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"Feb., 2021 (provisional)"	"2021/02"	3216	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"Mar., 2021 (provisional)"	"2021/03"	3038	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"Apr., 2021 (provisional)"	"2021/04"	2824	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"May, 2021 (provisional)"	"2021/05"	2990	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"Jun., 2021 (provisional)"	"2021/06"	2911	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"Jul., 2021 (provisional)"	"2021/07"	3309	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	3936	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	3580	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	3380	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"Nov., 2021 (provisional)"	"2021/11"	3169	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021 (provisional)"	"2021"	"Dec., 2021 (provisional)"	"2021/12"	3519	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	3989	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	3548	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional and partial)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	3192	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional and partial)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	2807	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional and partial)"	"2022"	"May, 2022 (provisional)"	"2022/05"	2944	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional and partial)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	2869	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional and partial)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	2915	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional and partial)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	2911	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional and partial)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	2063	Not Applicable	Not Applicable
